run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s1_p0__h2+3+4__red__whole__r0,v100_s1_p0,100,1,0.0,0.0,100,282,h2+3+4,2+3+4,True,False,0,1849447674,ok,,,13.046867875003954,,2026-08-27T11:09:33+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.000374625000404194,282,0,0,1,,3880,3880,83225,282,241.734375,,0.0,642.0,1117.0,False,True
v100_s1_p10__h2__nored__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2,2,False,False,0,1870773349,ok,,,2.045490124990465,,2026-08-27T11:09:34+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0004682920116465539,252,2,0,1,,254,254,1145,254,218.765625,1.3540563973063957,1.0,54.0,-632.0,True,True
v100_s1_p10__h2__red__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2,2,True,False,0,1870773349,ok,,,1.9459096250066068,,2026-08-27T11:09:34+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0004761249874718487,252,2,0,1,,252,252,1142,252,217.828125,1.3413508096841393,1.0,54.0,,True,True
v100_s1_p10__h3__nored__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h3,3,False,False,0,1870773349,ok,,,2.3611557919939514,,2026-08-27T11:09:35+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00024020799901336432,252,2,0,1,,254,254,3499,254,222.40625,1.3820879830046449,1.0,62.0,-1810.0,True,True
v100_s1_p10__h3__red__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h3,3,True,False,0,1870773349,ok,,,2.3839383749873377,,2026-08-27T11:09:35+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005178329884074628,252,2,0,1,,252,252,3487,252,221.640625,1.379401956068621,1.0,54.0,,True,True
v100_s1_p10__h4__nored__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h4,4,False,False,0,1870773349,ok,,,8.230457416997524,,2026-08-27T11:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005556249816436321,252,2,0,1,,2974,2974,59768,254,218.953125,,0.0,526.0,4123.0,False,True
v100_s1_p10__h4__red__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h4,4,True,False,0,1870773349,ok,,,8.154461124999216,,2026-08-27T11:09:36+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00024120800662785769,252,2,0,1,,2974,2974,59669,252,217.671875,,0.0,774.0,,False,True
v100_s1_p10__h2+3__nored__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3,2+3,False,False,0,1870773349,ok,,,2.4621341660094913,,2026-08-27T11:09:37+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.00046558299800381064,252,2,0,1,,254,254,3499,254,222.828125,1.3752467131633768,1.0,54.0,-2475.0,True,True
v100_s1_p10__h2+3__red__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3,2+3,True,False,0,1870773349,ok,,,2.4291260839963797,,2026-08-27T11:09:37+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005063330172561109,252,2,0,1,,252,252,3487,252,221.359375,1.3575625701458998,1.0,54.0,,True,True
v100_s1_p10__h2+3+4__nored__whole__r0,v100_s1_p10,100,1,0.1,0.09929078014184398,100,254,h2+3+4,2+3+4,False,False,0,1870773349,ok,,,9.083854374999646,,2026-08-27T11:09:38+00:00,iyohwan-ui-Macmini.local,3.12.14,8355cb4,dwave.samplers.SimulatedAnnealingSampler,100,0.0005044589925091714,252,2,0,1,,2974,2974,59824,254,224.8125,,0.0,630.0,-314.0,False,True
