run_id,graph_id,vertices,graph_seed,remove_ratio_target,remove_ratio_actual,n_vertices,n_edges,hop_key,hops,use_reduction,use_dnc,rep,run_seed,status,error_type,error_message,elapsed_sec,timeout_sec,started_at,hostname,python_version,git_sha,sampler,num_reads,contraction_sec,n_edges_contracted,n_super_edges,n_cycle_chains,n_subgraphs,partition_target_k,qubo_vars_total,qubo_vars_max,qubo_couplings_total,n_edges_solved,peak_rss_mb,apsp_sum,strong_connect_rate,flow_score,sample_score,strongly_connected,ok
v100_s1_p0__h4__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h4,4,False,True,0,1849447674,ok,,,1.8707969170063734,,2026-08-29T17:55:51+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00015045801410451531,144,4,0,4.0,14.0,114.0,102.0,441.0,148.0,188.328125,1.7863412008866593,1.0,96.0,,True,True
v100_s1_p0__h4__red__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h4,4,True,True,0,1849447674,ok,,,2.127542416972574,,2026-08-29T17:55:50+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00016116700135171413,144,4,0,3.0,20.0,101.0,75.0,339.0,144.0,226.375,1.7605324907976554,1.0,96.0,,True,True
v100_s1_p0__h2+3__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h2+3,2+3,False,True,0,1849447674,ok,,,1.3275561250047758,,2026-08-29T17:55:52+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0001697090337984264,144,4,0,1.0,,148.0,148.0,835.0,148.0,236.484375,1.7719967117618614,1.0,96.0,-386.0,True,True
v100_s1_p0__h2+3__red__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h2+3,2+3,True,True,0,1849447674,ok,,,1.2641550419502892,,2026-08-29T17:55:51+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00015929096844047308,144,4,0,1.0,,144.0,144.0,825.0,144.0,233.046875,1.7403433398812183,1.0,96.0,,True,True
v100_s1_p0__h2+3+4__nored__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h2+3+4,2+3+4,False,True,0,1849447674,ok,,,2.2961981660337187,,2026-08-29T17:55:53+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00018016697140410542,144,4,0,4.0,14.0,114.0,102.0,444.0,148.0,188.390625,1.7477733181521105,1.0,96.0,,True,True
v100_s1_p0__h2+3+4__red__r0,v100_s1_p0,100,1,0.0,0.0,100,148,h2+3+4,2+3+4,True,True,0,1849447674,ok,,,2.5114682499552146,,2026-08-29T17:55:53+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00018841703422367573,144,4,0,3.0,20.0,101.0,75.0,348.0,144.0,213.28125,1.7317117391587162,1.0,96.0,,True,True
v100_s1_p10__h2__nored__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h2,2,False,True,0,1870773349,ok,,,0.5016040420159698,,2026-08-29T17:55:54+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0001837909803725779,99,25,0,1.0,,133.0,133.0,232.0,133.0,156.671875,2.866604399668803,0.03,66.0,-100.0,True,True
v100_s1_p10__h2__red__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h2,2,True,True,0,1870773349,ok,,,0.3413716669892892,,2026-08-29T17:55:53+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021845899755135179,99,25,0,1.0,,99.0,99.0,198.0,99.0,154.75,2.841431422673849,1.0,66.0,,True,True
v100_s1_p10__h3__nored__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h3,3,False,True,0,1870773349,ok,,,0.7846177500323392,,2026-08-29T17:55:55+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00020470900926738977,99,25,0,1.0,,133.0,133.0,616.0,133.0,183.109375,2.0648180413202755,0.35,66.0,-157.0,True,True
v100_s1_p10__h3__red__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h3,3,True,True,0,1870773349,ok,,,0.5151417090091854,,2026-08-29T17:55:54+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0001997079816646874,99,25,0,1.0,,99.0,99.0,520.0,99.0,166.375,2.2094536313195055,1.0,66.0,,True,True
v100_s1_p10__h4__nored__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h4,4,False,True,0,1870773349,ok,,,1.4987223750213161,,2026-08-29T17:55:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00022541696671396494,99,25,0,4.0,11.0,135.0,135.0,617.0,133.0,165.953125,2.49538664947155,1.0,66.0,,True,True
v100_s1_p10__h4__red__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h4,4,True,True,0,1870773349,ok,,,1.144054332980886,,2026-08-29T17:55:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002399589866399765,99,25,0,4.0,19.0,114.0,114.0,515.0,99.0,164.3125,2.372373890625461,1.0,66.0,,True,True
v100_s1_p10__h2+3__nored__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h2+3,2+3,False,True,0,1870773349,ok,,,0.8447557920007966,,2026-08-29T17:55:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00022458401508629322,99,25,0,1.0,,133.0,133.0,616.0,133.0,187.03125,2.08019290682416,0.4,66.0,-325.0,True,True
v100_s1_p10__h2+3__red__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h2+3,2+3,True,True,0,1870773349,ok,,,0.5521514999563806,,2026-08-29T17:55:56+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00021174998255446553,99,25,0,1.0,,99.0,99.0,520.0,99.0,167.765625,2.1974794096443033,1.0,66.0,,True,True
v100_s1_p10__h2+3+4__nored__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h2+3+4,2+3+4,False,True,0,1870773349,ok,,,1.877322959015146,,2026-08-29T17:55:57+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.0002282910281792283,99,25,0,4.0,11.0,135.0,135.0,624.0,133.0,166.5625,2.3736469348964793,1.0,66.0,,True,True
v100_s1_p10__h2+3+4__red__r0,v100_s1_p10,100,1,0.1,0.10135135135135136,100,133,h2+3+4,2+3+4,True,True,0,1870773349,ok,,,1.423489500011783,,2026-08-29T17:55:57+00:00,iyohwan-ui-Macmini.local,3.12.14,f88372a,dwave.samplers.SimulatedAnnealingSampler,100,0.00020716700237244368,99,25,0,4.0,19.0,114.0,114.0,519.0,99.0,161.359375,2.2805215856385592,1.0,66.0,,True,True
